ID,L3,Finding Category,Priority,Description, Recommendation,Type of correction action,Categories of corrective action strength
22322,PT Usaha Jayamas Bhakti,Housekeeping,Medium,plastic waste scattered under the meeting table,Move all the plastic waste and put in waste bin,1,1
22356,PT Laju Niaga Gemilang,Slips and trips,High,There is no signage for pathways,Put the signage for pathways,1,1
22356,PT Laju Niaga Gemilang,Communication,High,No update for safety campaign on HSSE statistic,Update the safety campaign,2,1
22356,PT Laju Niaga Gemilang,Procedures not followed / inadequate,High,No updated JHA,Please update the JHA,4,1
22356,PT Laju Niaga Gemilang,Communication,High,"No signage for smoking, drugs & alcohol prohibition",Put the safety sign,1,1
22356,PT Laju Niaga Gemilang,Housekeeping,High,There is material that blocking the access ,Pathway must be clear,1,1
22356,PT Laju Niaga Gemilang,Rotating equipment,High,Tagging is not up to date,Update the date,2,1
22356,PT Laju Niaga Gemilang,Communication,High,"No prohibition for smoking, drugs, alcohol, in place","Provide it (signage for no smoking, no alcohol, no drugs)",1,1
22360,PT Laju Niaga Gemilang,Security,High,no lock gates to maintain security safety,Ensure there is lockable gates,2,1
22360,PT Laju Niaga Gemilang,Slips and trips,High,"Material / asset storage at pathway, risk for slip trip and damaging the asset","Move materials from pathway, to prevent slip trip and asset damage
",1,1
22373,PT Surya Utama Nuansa,Communication,Low,No visibility of safety signage in place to inform public/customer on the work been carried out on the top of roof/scaffolding,"Recommend to ensure following signage been prepared and install ""Awas  ada Pekerjaan di Ketinggia"" ",1,1
22373,PT Surya Utama Nuansa,Procedures not followed / inadequate,Low,Drill only performed once for working at height but no drill have performed for electrocution scenario ,"As per discussed, SUN to plan for electrical scenario of drill. Attach calendar drill schedule and notify Meinhardt so able to plan for witnessing the activity ",2,3
22373,PT Surya Utama Nuansa,Work at Heights,Medium,There was no checklist use to record activity perform post installation of temporary anchor by competent person ,"Installation checklist post installation of temporary anchor should be provided with plan to have in regular interval for ""inspection and examination test'"" by having a load test. ",2,1
22373,PT Surya Utama Nuansa,Procedures not followed / inadequate,Low,Not using latest version of scaffolding checklist,See attached file - to use latest version of scaffolding checklist ,2,2
22376,,Weather,Medium,landscape area,"access becomes slippery to the green zone due to rain, cover it with plastic so that the garden soil is covered",1,1
22433,PT Heksagon Tiwikrama,PPE incomplete / inadequate,Low,It was found that workers did not use safety hand gloves,Make sure workers have used safety gloves when doing work,1,1
22452,PT Usaha Engineering Services,"Permit (inadequate, not present)",Medium,No WCF and JHA for set up Green Zone,All site set up activity should be controlled including set up green zone area,2,1
22452,PT Usaha Engineering Services,Fire / explosion,Medium,No checklist available for fire extinguisher,Checklist should available for fire extinguisher as part inspection tool,2,2
22452,PT Usaha Engineering Services,Communication,Low,No some sort of Induction Form that can be use of evidence that visitors or workers already inducted,[FOR IMPROVEMENT] UES should develop a proper Induction Form that include statement of understanding / assurance both for visitors and workers,2,3
22452,PT Usaha Engineering Services,Confined / restricted space,High,Both Entry Checklist and Gas Log did not apply during Confined Space Entry,Proper communication must be in place between entrant and AGT so Entry Checklist and Gas Log can be applied every Confined Space Entry,2,2
22474,PT Sinar Mutiara EPC,Work at Heights,High,Single Lanyard for Working at Height,Please remove single lanyard and change with double lanyard as per Working at Height Standar,1,1
22474,PT Sinar Mutiara EPC,Work at Heights,High,Unproper scaffolding ,Adding safety net for fall prevention,1,1
22474,PT Sinar Mutiara EPC,Friction,High,Sharp side will be friction potential at worker access,please change design entry door to eliminate sharp edges,1,1
22474,PT Sinar Mutiara EPC,PPE incomplete / inadequate,Medium,Loss of control inspection for Full body hardness single lanyard,HSSE officer site must inspect with checklist and apropriate with actual condition,2,1
22536,PT Surya Utama Nuansa,Communication,Medium,There is no warning signage during WHAT activity that it will be a potential hazard for customer or worker who will be in the area of exclusion zone (WAH),Provide and install a warning signage on hard barricade for awareness the staff/ worker/ customer that must be careful during WAH activity and only authorized person can enter to the WAH zone.,1,1
22536,PT Surya Utama Nuansa,Competence,High,1 of staff (Pak Ari) doesn't have Safety Passport.,SUN to proceed and provide Meinhardt EPCM Safety Passport for Pak Ari.,2,1
22536,PT Surya Utama Nuansa,Competence,High,"All core team need refresher training on LMRA and Hierarchy of Control, including LSR. ","Conduct refresher training on LMRA, Hierarchy of Control and 9 LSR.",2,3
22536,PT Surya Utama Nuansa,Communication,Medium,The information in HSSE Notice Board is note update.,"Please update the information of ERP, LFI, HSSE Program Plan and all certificate for competent person.",2,1
22536,PT Surya Utama Nuansa,Work at Heights,High,The person who is inspect and verifier the Scaffolding is the same person. It should be a different person and by Scaffold Inspector.,Ensure the scaffolding will be inspect by Scaffold Inspector and verify by PH/ Spv/ HSSE (cannot in the same person).,2,1
22536,PT Surya Utama Nuansa,"Permit (inadequate, not present)",High,"It was found that not all workers signed the JHA, when TBT have been conducted and WCF had been issued by PH.","PH should ensure the JHA will be shared to all staff and worker during TBT (prior starting the activity), including to signed on the last page.",2,1
22536,PT Surya Utama Nuansa,Communication,Medium,Minutes Of Meeting (MOM) are not complete at the time of TBM and not informative.,Improve the TBT and ensure all information during TBT are capture in the MOM.,2,1
22542,PT Laju Niaga Gemilang,"Barricading (inadequate, inappropriate)",High,Excavation with no protection from barricade,Please provide proper barricade & signage for excavation,1,1
22542,PT Laju Niaga Gemilang,Communication,High,HSSE statistic not update yet,Provide update HSSE Statistic at noticeboard,2,1
22542,PT Laju Niaga Gemilang,"Permit (inadequate, not present)",High,No permit document on noticeboard,Please attach permit document at noticeboard,2,1
22542,PT Laju Niaga Gemilang,Communication,High,No information on evacuation route,Provide sign for evacuation route,1,1
22542,PT Laju Niaga Gemilang,Electrical,High,No prevention fire extinguisher near temporary panel,please provide fire extinguisher CO near temporary panel,1,1
22567,PT Anugerah Petro Indonesia,PPE incomplete / inadequate,Low,PPE maintenance need to be improve,-,,
22570,PT Laju Niaga Gemilang,"Barricading (inadequate, inappropriate)",Medium,Opening not covered with hard barricade,HSSE should put to hard baricade to covered opening to prevent slip and fall,1,1
22610,PT Surya Utama Nuansa,Communication,Medium,"Visitor Control not implemented (no safety induction to new comer, no visitor book, no temperature check)",Moving forward SUN must perform access control well without fully rely on Blue Team,2,3
22610,PT Surya Utama Nuansa,"Rules, regulations not followed",Low,Daily BCP Checklist not conducted which should be part of COVID-19 control,Daily BCP Checklist is still part of COVID-19 Protocol that still applies on Shell Project. It is mandatory to fill daily,2,1
22610,PT Surya Utama Nuansa,"Permit (inadequate, not present)",Low,JHA not updated with 9 LSR,"As discussed, LSR on Blue Team's JHA must updated in 9 LSR simply by putting printed paper on it",2,1
22610,PT Surya Utama Nuansa,Communication,Medium,Some elements including LFI are too small to read,LFI is a crucial information that every worker must aware of it. It must be applied with a normal paper size so everyone can read it on bulletin,3,1
22621,PT Usaha Jayamas Bhakti,Communication,Medium,Project door had no safety sign,Project door after put safety sign,1,1
22623,PT Usaha Jayamas Bhakti,Communication,Medium,no smoking sign before,provide signage. ,1,1
22627,PT Buma Perindahindo,"Barricading (inadequate, inappropriate)",High,Potential fall hazard (no barricade on the edge of the slope),Need to provide a proper barricade on the edge of slope to prevent fall hazard,1,1
22668,PT Laju Niaga Gemilang,Traffic,Medium,"No presence of flagman during observation made on the operation of heavy equipment. Despite immediate intervention taken, it seen flagman not have agreed communication method",PH and HSSE to ensure excavator must not be moved unless one of team acts as the banksman and sightlines are kept. Agreed communication method between flagman and operator also shall be in place by having proper training involving both of them ,1,1
22668,PT Laju Niaga Gemilang,Communication,Low,lack of safety signage and barricade to made aware of workers about line of fire hazard,LNG to install in adequate number of barricade and signage ,1,1
22668,PT Laju Niaga Gemilang,Electrical,High,No proper MCB lock and tag on the isolation apply at site ,Had informed site team to immediately install proper lock and tag ,1,1
22705,PT Surya Utama Nuansa,Competence,High,PH & Electrical Can't Understand verification process with Checklist and Impementation SWC,HSSE must conduct socialization regarding LOTOTO Preparation and how using checklist HRA and SWC,2,3
22705,PT Surya Utama Nuansa,Housekeeping,Medium,"The greenzone area is not tidy, and several facilities such as hsse information are not available, CRR Hardcopy is not available",PH and HSSE must ensure all greenzone facilities must ready and greenzone must tidy,2,1
22705,PT Surya Utama Nuansa,Procedures not followed / inadequate,Medium,Wrong placement First aid kit. First aid,First aid kit must already put in greenzone,1,1
22705,PT Surya Utama Nuansa,Housekeeping,Medium,All ex-material after installation not tidy at area generator Existing,Please make a toolbox for cover ex-material after installation and prevent loss of material PV accesories and supporting tools,1,3
22716,PT Laju Niaga Gemilang,Communication,High,HSSE Statistic still on 08 February 2023,Update HSE Statistic for 10 February 2023,2,1
22716,PT Laju Niaga Gemilang,"Permit (inadequate, not present)",High,PI sign on Document checklist for PTW is not mathed,Please revise the checklist & make sure must be matched PI on checklist & PTW form,2,1
22716,PT Laju Niaga Gemilang,"Permit (inadequate, not present)",High,PTW form is blank on LMRA section from PI,Ask to permit issuer & fill up the LMRA on PTW Excavation 08635,2,1
22716,PT Laju Niaga Gemilang,"Permit (inadequate, not present)",High,Excavation checklist is not fill properly,"Please fill up excavation checklist on requirements for safe access & egress, requirements for management of the excavation in adverse weather condition & additional precautions required.",2,1
22757,PT Surya Utama Nuansa,Communication,Medium,(REPETITIVE) Informations such as LFI are too small printed it cause people difficult to read,Provide another media (could be board or banner) so all informations needed could provided properly,2,2
22757,PT Surya Utama Nuansa,Communication,Medium,Blue Zone Pictures not complete,"As discussed during site visit, all Blue Zones column must be complete with the right pictures (hazard and risk must be differed)",2,1
22757,PT Surya Utama Nuansa,Procedures not followed / inadequate,High,Improper Visitor Log,"Attendance List cannot be functioned as Visitor Book. Visitor Book should consist crucial information besides name and company, such as: Safety Passport Number, Temperature, Check, etc.",2,1
22757,PT Surya Utama Nuansa,"Permit (inadequate, not present)",High,(REPETITIVE) False fill of SWC,"It has been told several times that it should be PH who fill the ""Pelaksana Kerja"" column",2,1
22767,PT Laju Niaga Gemilang,Housekeeping,Medium,Material stockyard is not fully barricade,Provide barricade and signage for material storage,1,1
22767,PT Laju Niaga Gemilang,Dust,Low,Dust and dirt on green zone area,Improve cleaning at greenzone area periodically,1,1
22767,PT Laju Niaga Gemilang,Communication,Medium,Minim awareness to intervene other for safety,Workers must aware to intervene other personnel at red zone regarding PPE & control of hazards,2,3
22770,PT Usaha Engineering Services,Communication,Low,LSR banner awareness not displayed full information on the intent of action. PH seems not able to explain in detail on I personal statement on action required for relevant rules applicable as per scope of work ,"For temporary measure, UES can print out A4 with full page IOGP LSR that describing clear intent of action on each rules ",2,1
22770,PT Usaha Engineering Services,"Permit (inadequate, not present)",Medium,No signature on the person who prepared JHA. JHA on site assessment performed with PH at site and indetified several item not specifically describe in control such as use of lifting handle during tank sump opening and TLV of Gas Detector Reading,"Despite immediate action taken on performing on site handwritten JHA, UES to review and revised JHA based on input from PH ",2,1
22770,PT Usaha Engineering Services,"Permit (inadequate, not present)",Low,PH miss out to fill out on the field of equipment recomissioning responsibility and instruction,"As LOTOTO performed at site, section on the equipment recommissioning responsibility and instruction must be properly fill out ",2,1
22781,PT Laju Niaga Gemilang,Security,High,Improper site security,Install Proper site security,1,1
22781,PT Laju Niaga Gemilang,Communication,High,No update hsse statistic at green zone,Update HSSE Statistic on actual day,2,1
22781,PT Laju Niaga Gemilang,Communication,High,No SWG document on site that informed to workers,Share SWG every day,2,3
22781,PT Laju Niaga Gemilang,Competence,High,No information related safety passport and certificate permit holder,Please show the safety passport & certificate for Permit Holder,2,1
22781,PT Laju Niaga Gemilang,Communication,High,No update information board,Update the information board and put plastic on PTW system document,2,1
22781,PT Laju Niaga Gemilang,Communication,High,No updated SWC & SWG,Please update & implemented the SWG & SWC on daily basis,2,1
22781,PT Laju Niaga Gemilang,"Rules, regulations not followed",High,No LSR information at Green Zone,Please put update LSR at toolbox meeting tent,2,1
22808,PT Laju Niaga Gemilang,"Rules, regulations not followed",High,CQC was available at site but need further improvement.,Finding for LNG,2,1
22808,PT Laju Niaga Gemilang,"Barricading (inadequate, inappropriate)",Medium,Site had implemented good TMP but barricading inside red zone area still need further improvement ,For LNG: install safety net to increase visibility and put more signate to inform workers on the hazard. ,1,1
22808,PT Laju Niaga Gemilang,Procedures not followed / inadequate,High,Any changes on the site conditions should be properly address to the relevant parties rather than taking their own decisions.,"LNG - Any changes observed at site, LNG to inform thru email for formal communication. Please provide evidence of email communication on the change of site condition ",2,1
22808,PT Laju Niaga Gemilang,"Rules, regulations not followed",High,Every ERP need to involved retailer especially when we are dealing with a live sites. The previous ERP was not cascaded to Shell PIC. ,For LNG : to have a plan to conduct drill that involve others L3 and retailer. LNG can submit calendar drill plan for closing action. ,2,3
22808,PT Laju Niaga Gemilang,"Rules, regulations not followed",High,Decommissioning Plan. API need to identify All unused tanks or piping & revalidate with MHT. The Decommissioning Plan should properly handed over to CBRE & recorded in As Built Drawings.,API : API to provide decommissioning plan that describe necessary measure to isolate fuel system related component. Please refer to GIDS,2,1
22808,PT Laju Niaga Gemilang,"Inspection, signage, tag",High,Boots on the ground. Visible L3’s Top Management conducting HSSE Audit & upload thru lucidity.,"LNG : LNG to submit evidence of Top Management Visit 

API : API to submit evidence of Top Management Visit ",2,1
22808,PT Laju Niaga Gemilang,"Fitness to work (fatigue, drugs & alcohol, etc)",High,L4’s management: LNG need to considered about Fatigue management since the general workers need to have proper rest after 7 days straight working.,LNG : LNG to submit monitoring working hours for every single person to ensure no one exceed allowable working hours ,2,1
22808,PT Laju Niaga Gemilang,Legal compliance,High,BPJS & L3’s Accommodation. PCC need to ensure 100% compliance in terms  of BPJS & ensure workers welfare by having proper accommodation. ,LNG & API : LNG to submit evidence of worker welfare Audit ,2,1
22808,PT Laju Niaga Gemilang,Housekeeping,Medium,Housekeeping. Better material plan is required.,"LNG : Housekeeping need to be improve with provision of safe access, barricading for material storage, and etc.  ",1,1
22808,PT Laju Niaga Gemilang,Procedures not followed / inadequate,Medium,L3 to ensure work will be done safely with right method and tools ,All L3 : submit update plant and equipment register with evidence of inspection and actual photos of equipment. ,2,1
22846,PT Laju Niaga Gemilang,Slips and trips,Medium,Gritting not properly managed which resulted to slip-trip hazard,Conduct periodic inspection to all pedestrian access and eliminate slip-trip hazards,3,1
22846,PT Laju Niaga Gemilang,"Barricading (inadequate, inappropriate)",Medium,Material not protected well (usage of barricade tape),Barricading must be use hard-barricade as mentioned in MHT HSSE Guidance,1,1
22846,PT Laju Niaga Gemilang,"Barricading (inadequate, inappropriate)",Medium,Usage of barricade tape,Barricading must be use hard-barricade as mentioned in MHT HSSE Guidance,1,1
22846,PT Laju Niaga Gemilang,Security,Medium,Security Unable to Perform Safety Induction to Visitor,Security must be trained properly in conducting safety induction and ensure he understand what visitors must know every entering the site for the first time,2,3
22846,PT Laju Niaga Gemilang,"Rules, regulations not followed",Medium,Improper use of first aid bed (only use stretcher),A proper first aid bed must be in place as mentioned in MHT HSSE Guidance,1,1
22870,PT Sinar Mutiara EPC,Protruding objects,High,Sharp object of the access door to Red Zone not protected,"Access door that made of such material (metal, zinc) should be equipped with protection made of wood or styrofoam",1,1
22870,PT Sinar Mutiara EPC,Competence,High,Core Team have biased understanding about Blue Zone,HSSE Manager of SME should conduct refreshment about Blue Zone and any other HSSE materials in Shell Program,2,3
22870,PT Sinar Mutiara EPC,Communication,High,"No competencies, policies, ERP, and other  important information displayed on Green Zone",Refer to MHT HSSE Guidance to know what minimum information should display on Green Zone,2,1
22870,PT Sinar Mutiara EPC,Communication,High,"Improper visitor handling (no visitor book, no induction, no temperature check)",Visitors should recorded in visitor book (complete with Safety Passport number) and do temperature check which part of agreed BCP Program,2,1
22870,PT Sinar Mutiara EPC,Competence,Medium,No Temporary Safety Passport printed for workers,Temporary Safety Passport should printed and given to workers as it contains emergency contact number in case something happen to the worker,2,3
22870,PT Sinar Mutiara EPC,"Permit (inadequate, not present)",Medium,Not site specific JHA,JHA should specific and matched with the program / project (example: there is no Lube Bay in GOE Project),2,1
22870,PT Sinar Mutiara EPC,"Permit (inadequate, not present)",Medium,Workers not signed JHA periodically,JHA should be signed by workers everyday if the activity still on going as proof that it communicated to the involved ones,2,1
22870,PT Sinar Mutiara EPC,Communication,Medium,No policies displayed on Green Zone,Refer to MHT HSSE Guidance to know what minimum information should display on Green Zone,2,3
22870,PT Sinar Mutiara EPC,"Rules, regulations not followed",Low,Improper waste bin,Refer to MHT HSSE Guidance to know what expected for waste management,2,1
22870,PT Sinar Mutiara EPC,"Rules, regulations not followed",High,No ERP displayed on Green Zone,Refer to MHT HSSE Guidance to know what minimum information should display on Green Zone,2,1
22873,PT Laju Niaga Gemilang,Electrical,High,"Cable not properly arrange for easy access, need to be put higher pole for safety",please install a pole to give more height to the cable for easy access,1,1
22874,PT Usaha Jayamas Bhakti,"Barricading (inadequate, inappropriate)",Medium,Usage of barricade tape,Barricade should use the hard one instead of tape as mentioned in MHT HSSE Guidance,1,1
22874,PT Usaha Jayamas Bhakti,Communication,Medium,LSR use English Version which complicate workers to understand,LSR and other important awareness should use Indonesian version so workers can understand,2,1
22887,PT Usaha Engineering Services,Procedures not followed / inadequate,Medium,Not proper cylinder gas handling,"please using proper rope "" lasing"" to cover cylinder gas",1,1
22890,PT Laju Niaga Gemilang,"Inspection, signage, tag",Low,no signage access ,Please put a signage for access and put community feedback,1,2
22893,PT Heksagon Tiwikrama,PPE incomplete / inadequate,Low,found worker not wear hand gloves during instal name plate id,Wear proper PPE (hand gloves) to minimize injury ,1,1
22895,PT Usaha Jayamas Bhakti,"Inspection, signage, tag",Low,Not proper signage for separate greenzone and redzone,Please install proper signage to giving the information greensone and redzone to prevent and easier the worker knowing contruction activity,1,1
22895,PT Usaha Jayamas Bhakti,Housekeeping,Medium,temporary material is tidy and not proper signage,please tidy up and barricade and install signage,1,1
22895,PT Usaha Jayamas Bhakti,Procedures not followed / inadequate,High,First aid box is empty,please completly first aid bag as per crr approval ,1,1
22895,PT Usaha Jayamas Bhakti,Fire / explosion,High,FIREX pressure is very low,remove the Firex and change with a new FIREX with good condition as per part of crr approval,1,1
22895,PT Usaha Jayamas Bhakti,PPE incomplete / inadequate,High,Worker into redzone without PPE,Please socialization redzone and greenzone and put the signage to easier worker to identified redzone area,2,3
22895,PT Usaha Jayamas Bhakti,PPE incomplete / inadequate,High,worker not using safety glass during concreating work,Please check and conduct isnpection regularly to ensure PPE is already at the sites,3,3
22897,PT Anugerah Petro Indonesia,Competence,Medium,API team do not bring valid CBRE Safety Passport,API to ensure technician only bring valid safety passport to sites ,2,1
22899,PT Laju Niaga Gemilang,PPE incomplete / inadequate,Medium,Observed worker not wearing safety glasses during hacking work,Immediate action had taken to inform workers to wear the PPE. Assurance plan to be provided to cultivate culture of peer-intervention to address PPE compliance. A group of workers perform activity at same place but no intervention made to keep reminding each others. ,3,3
22899,PT Laju Niaga Gemilang,"Barricading (inadequate, inappropriate)",Medium,No proper hard barricade on excavated area that might lead people fall into it,Install additional railing to connect between to mobile barricade ,1,1
22899,PT Laju Niaga Gemilang,Housekeeping,High,Unsafe storage of drainage material without proper stopper on top nearby OWS area,Remove third layer and ensure proper stopper in place. Seek another opportunity also to put material away from excavated area. ,1,2
22899,PT Laju Niaga Gemilang,Housekeeping,Low,Cable laid on the ground,Awareness of cable management need to be improved ,3,3
22899,PT Laju Niaga Gemilang,Mechanical impact,Low,1.3 Material on top that has potential falling object,Remove material on top and stored in safe area,1,1
22899,PT Laju Niaga Gemilang,Electrical,Medium,No proper grounding system at panel. No PIC informmation also displayed on it,Put grounding and PIC information at Panel. ,2,1
22899,PT Laju Niaga Gemilang,Procedures not followed / inadequate,High,Only 2 CCTV active despite requirement to have 5 as per agreed CRR,LNG to ensure CCTV can be access as per agreed CRR.,3,1
22911,PT Sinar Mutiara EPC,Security,Medium,Unproper lockable gates preventing unauthorised access to GOE project area at site,Provide padlock and not only using cotton rope to secure the project area.,1,1
22911,PT Sinar Mutiara EPC,Procedures not followed / inadequate,High,Lack of control for visitor and there is no record.,"Display the access control procedure in Information Board and keep update the record for all visitors (from L1, L3 and L3 office base), including to conduct Safety Induction and ensure have a valid Safety Passport.",2,3
22911,PT Sinar Mutiara EPC,Procedures not followed / inadequate,High,"The L4 Safety Passport have already expired, and the site name are not update.","Provide L4 Safety Passport (for 2 worker) have already expired, and the site name need to update. Ensure the induction have already conducted and provide the record.",3,3
22911,PT Sinar Mutiara EPC,Pandemic (COVID) protections,Medium,Digital temperature check error and no record for the monitoring.,Provide Digital temperature check and ensure to monitoring as per BCP program.,1,1
22911,PT Sinar Mutiara EPC,Housekeeping,Medium,Housekeeping the GOE project area.,Housekeeping the GOE project area.,1,1
22911,PT Sinar Mutiara EPC,Procedures not followed / inadequate,High,No record for worker welfare audit during GOE project.,"Conduct worker welfare audit to ""rent house"" for the worker.",3,1
22922,PT Anugerah Petro Indonesia,Housekeeping,Low,There are leftover packs of material at the material storage area,Keep clean area after finish the job,1,1
22923,PT Anugerah Petro Indonesia,PPE incomplete / inadequate,Low,Worker wear perforated gloves during work activity,Wear gloves in proper condition,1,1
22943,PT Surya Utama Nuansa,Housekeeping,Medium,Storage material not tidy,To make tidy before and after used,1,1
22943,PT Surya Utama Nuansa,Housekeeping,High,Green zone matter of clothing,To be clean during construction,1,1
22958,PT Laju Niaga Gemilang,"Inspection, signage, tag",High,Signage,Improve safety sign for Evacuation Route,1,1
22958,PT Laju Niaga Gemilang,"Inspection, signage, tag",High,Signage,Improve community feedback signage,1,1
22958,PT Laju Niaga Gemilang,Competence,High,Internal Training for ME technician,Please give internal training & supervise regarding W@H activity,2,3
22958,PT Laju Niaga Gemilang,Housekeeping,High,Improvement,Improve for House keeping,3,2
22958,PT Laju Niaga Gemilang,"Inspection, signage, tag",High,Old tagging,Remove Old Tagging,1,1
22958,PT Laju Niaga Gemilang,"Fitness to work (fatigue, drugs & alcohol, etc)",High,provide,Provide alcohol test,3,1
22961,PT Laju Niaga Gemilang,"Barricading (inadequate, inappropriate)",Medium,,please provide proper barricading & signage ,1,1
22974,PT. Mitra Purnama Engineering,Electrical,Medium,Found Roll Cable that does not use a lid in use during work  ,"Replace with a cable roll according to its use, closed and used for out door",1,1
22982,PT Laju Niaga Gemilang,Electrical,High,Panel Distribution Box not proper locked,Panel distribution must locked and only access by K3 Electrical,1,1
22982,PT Laju Niaga Gemilang,Communication,Low,HSSE Information not updated,HSSE information must upda to date with new LFI. LFI always communication to front-line worker toi giving new information to increasing Safety awarness,3,3
22982,PT Laju Niaga Gemilang,Housekeeping,Medium,"Not proper trash bin, and odor polution",Please renew your trash bin as per standart site-set up and refer to approved CRR,3,2
22982,PT Laju Niaga Gemilang,Slips and trips,High,unsafe ladder can be slip and fall potential,Relocation ladder ,1,1
22982,PT Laju Niaga Gemilang,Protruding objects,High,Materiall unprotected material may hit workers,Intall barricade surrounding material area to prevent protuding object hit the worker,1,1
22985,PT Anugerah Petro Indonesia,"Exposure (chemical, noise, etc)",High,Not using PPE(Chemical Glove) for contact with chemical,Please read MSDS carefully and implemented ,3,2
22985,PT Anugerah Petro Indonesia,Housekeeping,Medium,Material waste pipe is tidy,Please conduct housekeping regularly,3,2
23010,PT Laju Niaga Gemilang,Poor visibility,Medium,CCTV has poor visibility to monitoring RBSAM Activity,Please find the attached Go-See Program. CCTV must relocate other location for better visibility to monitoring and managing prior activity,3,2
23031,PT Anugerah Petro Indonesia,Housekeeping,Low,It found some of equipment blocking the access way.,"Inform to worker, the tools & equipment in right & proper place.",1,1
23037,PT Laju Niaga Gemilang,"Barricading (inadequate, inappropriate)",Medium,Material area without proper barricade,Please use hard barricade to protect material area,1,1
23037,PT Laju Niaga Gemilang,Housekeeping,Low,a lot of leaves and branches lie on the surface of the site that need to be cleaned up,Always do the housekeeping especially lots of big tree in the site,1,1
23038,PT Sinar Mutiara EPC,"Permit (inadequate, not present)",High,Permit holder leave site during construction activity,"If Permit holder have any emergency case and must leave sites, PH must conduct proper handover to other PH. as per approved CRR. ",3,1
23038,PT Sinar Mutiara EPC,Housekeeping,Medium,greenzone is not tidy and poor housekeeping,Please make a schedule for houskeping regularly,3,2
23038,PT Sinar Mutiara EPC,Housekeeping,Medium,Tent is ripped-off,Ensure all facility greenzone is good condition,2,1
23038,PT Sinar Mutiara EPC,Work at Heights,High,Not proper checking and verified using Scaffolding Checklist,Checklist is effective tools to verified. SPV Scaffolding must know using checklist for verified. HSSE manager should be refresher to SPV Scaffolder for Verification process with checklist,2,3
23058,PT Anugerah Petro Indonesia,Housekeeping,High,saw a fueling system equipment (STP) on not designated place,please store it on the designated place as per CRR and approve location,3,1
23086,PT Sinar Mutiara EPC,Slips and trips,High,Use of soft caution tape for opening protection,SMEPC to immediately install railing (can use galvanize pipe) with safety net (blue) and signage for visibility ,1,1
23086,PT Sinar Mutiara EPC,Procedures not followed / inadequate,Medium,"Worker do not have temporary safety passport. Based on information from site team, it still not yet print out ","SMEPC to ensure during mobilization of workers, site induction and safety passport issuance should be part of competence assurance process. ",2,3
23086,PT Sinar Mutiara EPC,Housekeeping,Medium,"No proper identification, label, and barricading for rebar fabrication area and construction waste",SMEPC to install hard barricade with information label as per approved CRR. ,1,1
23088,PT Anugerah Petro Indonesia,Procedures not followed / inadequate,Medium,,please always do proper storage mechanism to nitrogen / pressurized cylinder whether its being used or not,3,1
